ComputeWorkflowExecution	WorkOrder	DNA	WOI	WorkingDirectory	LSFJobID	ExecutionID	Status
937	2853565	H_VD-48943810	1494856	/gscmnt/gc13035/production/compute_156786820	5590480	9910c563	completed
938	2853565	H_VD-48084511	1494564	/gscmnt/gc13035/production/compute_156786934	5590484	a6c62580	completed
939	2853565	H_VD-45884810	1493518	/gscmnt/gc13035/production/compute_156786889	5590488	b6b37275	completed
940	2853565	H_VD-44387110	1494671	/gscmnt/gc13035/production/compute_156786973	5591415	9daa798b	completed
941	2853565	H_VD-49210310	1494817	/gscmnt/gc13035/production/compute_156783977	5582900	80084d0c	completed
942	2853565	H_VD-46347511	1494356	/gscmnt/gc13035/production/compute_156784210	5583676	71f37d75	completed
943	2853565	H_VD-30000489	1494867	/gscmnt/gc13035/production/compute_156784258	5583675	4ebf9262	completed
944	2853565	H_VD-49290210	1493861	/gscmnt/gc13035/production/compute_156784377	5584826	cf6d0133	completed
945	2853565	H_VD-47131403	1493526	/gscmnt/gc13035/production/compute_156784336	5584828	9d2eda75	completed
946	2853565	H_VD-42564410	1494915	/gscmnt/gc13035/production/compute_156784522	5584831	42098ff2	completed
947	2853565	H_VD-46330111	1493613	/gscmnt/gc13035/production/compute_156784711	5585907	c662969a	completed
948	2853565	H_VD-42289811	1494577	/gscmnt/gc13035/production/compute_156784833	5585920	8eb9b05b	completed
949	2853565	H_VD-48458811	1493876	/gscmnt/gc13035/production/compute_156785051	5586136	cefa6249	completed
950	2853565	H_VD-30000279	1494461	/gscmnt/gc13035/production/compute_156785312	5586648	be291d59	completed
951	2853565	H_VD-48083711	1494517	/gscmnt/gc13035/production/compute_156785394	5586662	e48be8c5	completed
952	2853565	H_VD-46427903	1494204	/gscmnt/gc13035/production/compute_156785471	5587193	b05768a3	completed
953	2853565	H_VD-30000332	1494008	/gscmnt/gc13035/production/compute_156785800	5587204	96bbc96c	completed
954	2853565	H_VD-30000220	1493765	/gscmnt/gc13035/production/compute_156785704	5587213	9fb23884	completed
955	2853565	H_VD-42125311	1494516	/gscmnt/gc13035/production/compute_156785931	5588381	8bfe9933	completed
956	2853565	H_VD-48049210	1493947	/gscmnt/gc13035/production/compute_156786057	5588401	200677ab	completed
957	2853565	H_VD-46236311	1494198	/gscmnt/gc13035/production/compute_156786178	5588414	28ccbebc	completed
958	2853565	H_VD-49526211	1494186	/gscmnt/gc13035/production/compute_156786445	5588940	576735c9	completed
959	2853565	H_VD-45460711	1494792	/gscmnt/gc13035/production/compute_156786720	5589962	97a8e29d	completed
960	2853565	H_VD-43703510	1494545	/gscmnt/gc13035/production/compute_156787022	5591417	cabcb03e	completed
961	2853565	H_VD-47180603	1493921	/gscmnt/gc13035/production/compute_156787063	5591422	f6bef410	completed
962	2853565	H_VD-30000170	1494836	/gscmnt/gc13035/production/compute_156787244	5592819	b95eae24	completed
963	2853565	H_VD-49906711	1493558	/gscmnt/gc13035/production/compute_156787281	5592817	714f464d	completed
964	2853565	H_VD-30000172	1493753	/gscmnt/gc13035/production/compute_156787362	5592824	a3e43d0f	completed
965	2853565	H_VD-30000355	1494177	/gscmnt/gc13035/production/compute_156787553	5593980	d320df73	completed
966	2853565	H_VD-41777411	1494521	/gscmnt/gc13035/production/compute_156787589	5594497	54019897	completed
967	2853565	H_VD-30000287	1494669	/gscmnt/gc13035/production/compute_156787627	5594500	7621eba4	completed
968	2853565	H_VD-44414710	1494395	/gscmnt/gc13035/production/compute_156787682	5594508	e97d538a	completed
969	2853565	H_VD-45776811	1493806	/gscmnt/gc13035/production/compute_156787801	5595009	6bb9807d	completed
970	2853565	H_VD-30000154	1493634	/gscmnt/gc13035/production/compute_156787892	5595011	0d346ae9	completed
971	2853565	H_VD-47059111	1493705	/gscmnt/gc13035/production/compute_156787945	5596129	702f516d	completed
972	2853565	H_VD-45050110	1494737	/gscmnt/gc13035/production/compute_156787987	5596130	a9be7545	completed
973	2853565	H_VD-30000032	1493973	/gscmnt/gc13035/production/compute_156788032	5596557	712249a1	completed
974	2853565	H_VD-41084211	1494540	/gscmnt/gc13035/production/compute_156788237	5596555	1857dfa0	completed
975	2853565	H_VD-30000162	1494076	/gscmnt/gc13035/production/compute_156788071	5596563	4fe7ca7a	completed
976	2853565	H_VD-49953910	1494123	/gscmnt/gc13035/production/compute_156788447	5599044	cae1a31c	completed
977	2853565	H_VD-30000391	1493554	/gscmnt/gc13035/production/compute_156788401	5599054	eb9cbf9a	completed
978	2853565	H_VD-47623810	1493770	/gscmnt/gc13035/production/compute_156788609	5599059	d8eee815	completed
979	2853565	H_VD-47300610	1494258	/gscmnt/gc13035/production/compute_156788572	5599061	ec2aef4b	completed
980	2853565	H_VD-40617510	1494621	/gscmnt/gc13035/production/compute_156788754	5599558	6cdfc078	completed
981	2853565	H_VD-41698011	1494640	/gscmnt/gc13035/production/compute_156787112	5591868	9edeab02	completed
982	2853565	H_VD-30000144	1494333	/gscmnt/gc13035/production/compute_156787193	5591864	2125e761	completed
983	2853565	H_VD-47323911	1494736	/gscmnt/gc13035/production/compute_156787156	5591865	e79d2334	completed
984	2853565	H_VD-49017110	1493928	/gscmnt/gc13035/production/compute_156787327	5592822	971e06f8	completed
985	2853565	H_VD-40652311	1494051	/gscmnt/gc13035/production/compute_156787418	5593982	e5273821	completed
986	2853565	H_VD-30000307	1494524	/gscmnt/gc13035/production/compute_156787516	5593985	8f977bc3	completed
987	2853565	H_VD-30000163	1494891	/gscmnt/gc13035/production/compute_156787757	5594503	0225cdf7	completed
988	2853565	H_VD-49831710	1494930	/gscmnt/gc13035/production/compute_156787856	5595007	053751d9	completed
989	2853565	H_VD-29710403	1493540	/gscmnt/gc13035/production/compute_156788111	5596556	ebad54f6	completed
990	2853565	H_VD-47145410	1493721	/gscmnt/gc13035/production/compute_156788274	5596568	4c505e0f	completed
991	2853565	H_VD-49351311	1494341	/gscmnt/gc13035/production/compute_156788354	5599041	8c71742e	completed
992	2853565	H_VD-30000412	1494275	/gscmnt/gc13035/production/compute_156788311	5599046	cfcf0217	completed
993	2853565	H_VD-30000057	1494714	/gscmnt/gc13035/production/compute_156788489	5599042	f11020f4	completed
994	2853565	H_VD-30000540	1493698	/gscmnt/gc13035/production/compute_156788526	5599060	28c8d619	completed
995	2853565	H_VD-49710710	1493593	/gscmnt/gc13035/production/compute_156788653	5599062	7cfeb0e1	completed
996	2853565	H_VD-30000268	1494749	/gscmnt/gc13035/production/compute_156788701	5599068	2f6b7e83	completed
997	2853565	H_VD-43903510	1494543	/gscmnt/gc13035/production/compute_156788999	5600668	ea6f7f08	completed
998	2853565	H_VD-46814811	1494805	/gscmnt/gc13035/production/compute_156789075	5601217	30d2ac76	completed
999	2853565	H_VD-30000550	1494273	/gscmnt/gc13035/production/compute_156789117	5601741	248e15fe	completed
1000	2853565	H_VD-42563411	1494824	/gscmnt/gc13035/production/compute_156789253	5602219	34b0a7ad	completed
1001	2853565	H_VD-45092210	1494723	/gscmnt/gc13035/production/compute_156788796	5599565	35312ba5	completed
1002	2853565	H_VD-30000237	1494612	/gscmnt/gc13035/production/compute_156788837	5599563	85954ef8	completed
1003	2853565	H_VD-41388710	1494643	/gscmnt/gc13035/production/compute_156788890	5600651	55bf624c	completed
1004	2853565	H_VD-46553411	1494869	/gscmnt/gc13035/production/compute_156788942	5600659	c2993a50	completed
1005	2853565	H_VD-42512410	1494382	/gscmnt/gc13035/production/compute_156789038	5601220	e51e8b4e	completed
1006	2853565	H_VD-46344203	1494322	/gscmnt/gc13035/production/compute_156789158	5601743	923d577a	completed
1007	2853565	H_VD-40918303	1494709	/gscmnt/gc13035/production/compute_156789210	5602212	4f06854d	completed
1008	2853565	H_VD-30000054	1494406	/gscmnt/gc13035/production/compute_156789297	5602221	7c3a4321	completed
1009	2853565	H_VD-30000133	1494149	/gscmnt/gc13035/production/compute_156789394	5602749	d28b0fe0	completed
1010	2853565	H_VD-30000482	1494422	/gscmnt/gc13035/production/compute_156789464	5602753	d7a6926d	completed
1011	2853565	H_VD-30000439	1494447	/gscmnt/gc13035/production/compute_156789510	5603826	577e82b7	completed
1012	2853565	H_VD-40287711	1493864	/gscmnt/gc13035/production/compute_156789583	5603841	ce31b605	completed
1013	2853565	H_VD-40301210	1493630	/gscmnt/gc13035/production/compute_156789623	5603843	3ca23dbe	completed
1014	2853565	H_VD-47861011	1494591	/gscmnt/gc13035/production/compute_156789835	5604285	11c8b0a8	completed
1015	2853565	H_VD-44066710	1493640	/gscmnt/gc13035/production/compute_156789663	5604289	ba782468	completed
1016	2853565	H_VD-30000036	1493627	/gscmnt/gc13035/production/compute_156789895	5604299	1c01ae11	completed
1017	2853565	H_VD-30000402	1494228	/gscmnt/gc13035/production/compute_156789702	5604284	baae9a4a	completed
1018	2853565	H_VD-30000186	1494255	/gscmnt/gc13035/production/compute_156789931	5605286	835fd64a	completed
1019	2853565	H_VD-46784003	1494213	/gscmnt/gc13035/production/compute_156790032	5605291	b1255dd5	completed
1020	2853565	H_VD-49896411	1494318	/gscmnt/gc13035/production/compute_156790293	5605756	0cf79aa3	completed
1021	2853565	H_VD-45555910	1493596	/gscmnt/gc13035/production/compute_156789333	5602750	a731a026	completed
1022	2853565	H_VD-30000153	1494151	/gscmnt/gc13035/production/compute_156790121	5605292	e3155a03	completed
1023	2853565	H_VD-46394411	1493689	/gscmnt/gc13035/production/compute_156790236	5605755	1a8757c8	completed
1024	2853565	H_VD-30000422	1494225	/gscmnt/gc13035/production/compute_156790331	5605753	fbb5f09e	completed
1025	2853565	H_VD-30000149	1494496	/gscmnt/gc13035/production/compute_156790413	5606826	efbadf6f	completed
1026	2853565	H_VD-42902910	1493787	/gscmnt/gc13035/production/compute_156790791	5607353	b7d35479	completed
1027	2853565	H_VD-49565011	1493651	/gscmnt/gc13035/production/compute_156790750	5607342	76cf1db0	completed
